threshold,precision,recall,f2,review_rate,review_count,tp,fn,fp,tn
0.51,0.7740384615384616,0.5669014084507042,0.5989583333333334,0.23502824858757063,208,161,123,47,554
0.52,0.7733990147783252,0.5528169014084507,0.5862584017923824,0.22937853107344633,203,157,127,46,555
0.53,0.775,0.545774647887324,0.5800898203592815,0.22598870056497175,200,155,129,45,556
0.54,0.7766497461928934,0.5387323943661971,0.5738934733683421,0.22259887005649717,197,153,131,44,557
0.55,0.7736842105263158,0.5176056338028169,0.5542986425339367,0.21468926553672316,190,147,137,43,558
0.56,0.7837837837837838,0.5105633802816901,0.5488266464799394,0.20903954802259886,185,145,139,40,561
0.57,0.7967032967032966,0.5105633802816901,0.5500758725341427,0.20564971751412428,182,145,139,37,564
0.58,0.8,0.49295774647887325,0.5339435545385202,0.1977401129943503,175,140,144,35,566
0.59,0.8034682080924855,0.4894366197183099,0.5309396485867074,0.19548022598870057,173,139,145,34,567
0.6,0.8106508875739645,0.4823943661971831,0.524904214559387,0.19096045197740114,169,137,147,32,569
0.61,0.8143712574850299,0.4788732394366197,0.5218726016884113,0.18870056497175142,167,136,148,31,570
0.62,0.8159509202453987,0.46830985915492956,0.5119322555812164,0.18418079096045198,163,133,151,30,571
0.63,0.8125,0.45774647887323944,0.5015432098765432,0.1807909604519774,160,130,154,30,571
0.64,0.8258064516129032,0.4507042253521127,0.4957397366382649,0.1751412429378531,155,128,156,27,574
0.65,0.8258064516129032,0.4507042253521127,0.4957397366382649,0.1751412429378531,155,128,156,27,574
0.66,0.8223684210526315,0.44014084507042256,0.48524844720496896,0.17175141242937852,152,125,159,27,574
0.67,0.8266666666666667,0.43661971830985913,0.4821150855365474,0.1694915254237288,150,124,160,26,575
0.68,0.8266666666666667,0.43661971830985913,0.4821150855365474,0.1694915254237288,150,124,160,26,575
0.69,0.8424657534246576,0.43309859154929575,0.4797191887675507,0.16497175141242937,146,123,161,23,578
0.7,0.8391608391608392,0.4225352112676056,0.4691164972634871,0.1615819209039548,143,120,164,23,578
0.71,0.8394160583941606,0.40492957746478875,0.4516889238020424,0.15480225988700566,137,115,169,22,579
0.72,0.8682170542635659,0.39436619718309857,0.4426877470355731,0.14576271186440679,129,112,172,17,584
0.73,0.8861788617886179,0.38380281690140844,0.4328832406671962,0.13898305084745763,123,109,175,14,587
0.74,0.8842975206611571,0.3767605633802817,0.42561654733492443,0.1367231638418079,121,107,177,14,587
0.75,0.8907563025210085,0.3732394366197183,0.42231075697211157,0.1344632768361582,119,106,178,13,588
0.76,0.8947368421052632,0.3591549295774648,0.408,0.1288135593220339,114,102,182,12,589
0.77,0.9166666666666666,0.3485915492957746,0.3979099678456592,0.12203389830508475,108,99,185,9,592
0.78,0.9142857142857143,0.3380281690140845,0.38678485092667203,0.11864406779661017,105,96,188,9,592
0.79,0.9108910891089109,0.323943661971831,0.3718674211802749,0.11412429378531073,101,92,192,9,592
0.8,0.9090909090909091,0.31690140845070425,0.3643724696356275,0.11186440677966102,99,90,194,9,592
0.81,0.9120879120879121,0.29225352112676056,0.3382233088834556,0.10282485875706214,91,83,201,8,593
0.82,0.9186046511627907,0.27816901408450706,0.323240589198036,0.09717514124293786,86,79,205,7,594
0.83,0.9382716049382716,0.2676056338028169,0.3122432210353328,0.09152542372881356,81,76,208,5,596
0.84,0.9459459459459459,0.24647887323943662,0.2892561983471074,0.08361581920903954,74,70,214,4,597
