feature,mean_macro_f1_decrease,std
Curricular_units_1st_sem_approved,0.11423887923372594,0.015998750550858268
Curricular_units_1st_sem_evaluations,0.03216835858143517,0.010373752268811634
Curricular_units_1st_sem_grade,0.030718344426079805,0.008094447717242065
Age_at_enrollment,0.019936926294588764,0.009938352918715988
Application_mode,0.012326567118669557,0.006724201857427027
Previous_qualification,0.008217419546654253,0.004344866433580574
Course,0.007718937553025315,0.006617299514284666
Admission_grade,0.007018676384607417,0.0068466203518327195
Daytime_evening_attendance,0.003810883284961597,0.003660047990043505
Curricular_units_1st_sem_enrolled,0.003211772266928911,0.0048131922458060986
Application_order,0.00015547430363742343,0.002118103530535613
Previous_qualification_grade,-0.0003353202558683266,0.0054472766570152565
Curricular_units_1st_sem_credited,-0.0010514161470793204,0.001266819941367041
Curricular_units_1st_sem_without_evaluations,-0.0013799382816384875,0.0009116973896268004
