candidate,macro_f1_mean,macro_f1_std,dropout_brier_mean,dropout_ap_mean
dummy,0.22199888330541598,0.00012485024999997913,0.2181029032720569,0.32140141420601925
logistic,0.5442436014629457,0.013596077466155123,0.1231603672829441,0.8208251342627347
random_forest,0.6264936542194179,0.017356545948325138,0.12675045483748024,0.8078848128548124
hist_gradient_boosting,0.5610759191372727,0.015077750933836603,0.1253604868207006,0.8152431218499689
