attribute,group,n,actual_dropout,threshold,precision,recall,f2,review_rate,review_count,tp,fn,fp,tn
Gender,0,570,139,0.19,0.46215139442231074,0.8345323741007195,0.7187112763320942,0.44035087719298244,251,116,23,135,296
Gender,1,315,145,0.19,0.6536585365853659,0.9241379310344827,0.8535031847133758,0.6507936507936508,205,134,11,71,99
Age_group,16–24,651,155,0.19,0.4881889763779528,0.8,0.7093821510297483,0.3901689708141321,254,124,31,130,366
Age_group,25+,234,129,0.19,0.6237623762376238,0.9767441860465116,0.8774373259052924,0.8632478632478633,202,126,3,76,29
Scholarship_holder,0,680,265,0.19,0.5800970873786407,0.9018867924528302,0.8118206521739131,0.6058823529411764,412,239,26,173,242
Scholarship_holder,1,205,19,0.19,0.25,0.5789473684210527,0.4583333333333333,0.2146341463414634,44,11,8,33,153
